City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-gentil,-0.7193,8.7815,27.98,81,75,3.6,GA,1680475843
1,dikson,73.5069,80.5464,-26.5,95,100,5.75,RU,1680475833
2,cape town,-33.9258,18.4232,21.32,86,75,4.63,ZA,1680475800
3,georgetown,5.4112,100.3354,25.96,88,20,1.03,MY,1680475728
4,pravia,43.4906,-6.1508,8.37,81,40,1.03,ES,1680476382
5,geraldton,-28.7667,114.6,18.23,88,75,2.57,AU,1680475877
6,chokurdakh,70.6333,147.9167,-21.67,91,72,5.6,RU,1680475843
7,dunedin,-45.8742,170.5036,16.71,57,17,0.89,NZ,1680475777
8,saint-philippe,-21.3585,55.7679,24.77,82,98,4.0,RE,1680475816
9,nikolskoye,59.7035,30.7861,-2.06,96,100,5.39,RU,1680475835
10,fortuna,40.5982,-124.1573,10.19,81,100,2.45,US,1680475846
11,platanos,37.6667,21.6167,14.76,86,98,2.0,GR,1680476382
12,rikitea,-23.1203,-134.9692,26.86,81,29,7.19,PF,1680475820
13,butaritari,3.0707,172.7902,27.49,78,33,4.88,KI,1680475838
14,loandjili,-4.7561,11.8578,26.41,86,94,3.0,CG,1680476382
15,hay river,60.8156,-115.7999,-9.02,79,100,2.57,CA,1680476382
16,sitka,57.0531,-135.33,5.94,70,75,2.06,US,1680475825
17,faanui,-16.4833,-151.75,28.3,69,100,3.48,PF,1680475841
18,husavik,66.0449,-17.3389,1.11,82,100,3.27,IS,1680475851
19,thompson,55.7435,-97.8558,-11.91,48,20,5.66,CA,1680475823
20,ushuaia,-54.8,-68.3,11.81,54,40,3.6,AR,1680475607
21,port elizabeth,-33.918,25.5701,21.29,70,0,6.69,ZA,1680475835
22,albany,42.6001,-73.9662,5.36,26,8,1.79,US,1680475576
23,antofagasta,-23.65,-70.4,22.6,84,39,1.82,CL,1680476114
24,luderitz,-26.6481,15.1594,15.81,86,4,5.46,NA,1680475841
25,yugorsk,61.3133,63.3319,-0.96,95,71,1.02,RU,1680476383
26,claresholm,50.0333,-113.5852,2.59,60,100,1.54,CA,1680476383
27,punta arenas,-53.15,-70.9167,15.06,41,75,3.6,CL,1680476384
28,norrtalje,59.758,18.705,-1.66,89,13,3.02,SE,1680476384
29,cayenne,4.9333,-52.3333,25.02,83,75,2.06,GF,1680475824
30,ucluelet,48.9329,-125.5528,6.17,71,92,5.54,CA,1680475878
31,goderich,43.7501,-81.7165,4.95,48,40,5.14,CA,1680476361
32,kavieng,-2.5744,150.7967,28.8,74,99,5.44,PG,1680475824
33,salalah,17.0151,54.0924,28.05,83,75,3.09,OM,1680475873
